concept_id,concept_name,domain_id,vocabulary_id,standard_concept
40488027,Multiple stenoses of left pulmonary artery,Condition,SNOMED,standard
40488028,Multiple stenoses of right pulmonary artery,Condition,SNOMED,standard
40488060,Single stenosis of right pulmonary artery,Condition,SNOMED,standard
40488397,Atrioventricular septal defect with atrioventricular valve regurgitation,Condition,SNOMED,standard
40488996,Repair of tetralogy of Fallot using right ventricular outflow conduit,Procedure,SNOMED,standard
40489905,Subaortic stenosis due to common atrioventricular valve,Condition,SNOMED,standard
40489972,Subpulmonary stenosis,Condition,SNOMED,standard
40490010,Stenosis of left pulmonary artery,Condition,SNOMED,standard
40490417,Double outlet right ventricle with doubly committed ventricular septal defect and pulmonary stenosis,Condition,SNOMED,standard
40490966,Abnormality of pulmonary valve,Condition,SNOMED,standard
40491478,Abnormality of aortic valve,Condition,SNOMED,standard
40492025,Subaortic stenosis due to restrictive ventricular septal defect in functionally univentricular heart,Condition,SNOMED,standard
40493461,Congenital stenosis of pulmonary artery,Condition,SNOMED,standard
40493472,Congenital stenosis of mitral subvalvular apparatus,Condition,SNOMED,standard
42538529,Double outlet right ventricle with subaortic or doubly committed ventricular septal defect without pulmonary stenosis - ventricular septal defect type,Condition,SNOMED,standard
42538671,Tetralogy of Fallot with pulmonary atresia and systemic-to-pulmonary collateral artery,Condition,SNOMED,standard
42538803,Injury of cardiac valve,Condition,SNOMED,standard
42539099,Prosthetic heart valve in situ,Observation,SNOMED,non-standard
42539373,Disorder of cardiac valve following procedure,Condition,SNOMED,standard
43020459,Mechanical breakdown of prosthetic heart valve,Condition,SNOMED,standard
43020465,Rheumatic mitral valve annular calcification,Condition,SNOMED,standard
43020466,Rheumatic mitral valve prolapse,Condition,SNOMED,standard
43020504,Shone complex,Condition,SNOMED,standard
43020630,Disorder of aortic valve prosthesis,Condition,SNOMED,standard
43020902,Subneopulmonary valve stenosis,Condition,SNOMED,standard
43020903,Subneoaortic valve stenosis,Condition,SNOMED,standard
43020913,Subaortic stenosis as complication of procedure,Condition,SNOMED,standard
43020914,Acquired subaortic stenosis associated with functionally univentricular heart,Condition,SNOMED,standard
43020915,Acquired subaortic stenosis due to restrictive ventricular septal defect associated with functionally univentricular heart,Condition,SNOMED,standard
43020916,Congenital subaortic stenosis due to restrictive ventricular septal defect associated with functionally univentricular heart,Condition,SNOMED,standard
43020917,Subaortic stenosis associated with functionally univentricular heart as complication of procedure,Condition,SNOMED,standard
43020918,Subpulmonary stenosis as complication of procedure,Condition,SNOMED,standard
43020919,Acquired subpulmonary stenosis associated with functionally univentricular heart,Condition,SNOMED,standard
43020920,Acquired subpulmonary stenosis due to restrictive ventricular defect associated with functionally univentricular heart,Condition,SNOMED,standard
43020921,Congenital subpulmonary stenosis due to restrictive ventricular defect associated with functionally univentricular heart,Condition,SNOMED,standard
43020922,Subpulmonary stenosis associated with functionally univentricular heart as complication of procedure,Condition,SNOMED,standard
43020946,Disorder of atrioventricular (not morphologically mitral or tricuspid) valve prosthesis,Condition,SNOMED,standard
43020947,Disorder of right atrioventricular (not morphologically tricuspid) valve prosthesis,Condition,SNOMED,standard
43020948,Disorder of tricuspid valve prosthesis,Condition,SNOMED,standard
43020949,Disorder of pulmonary valve prosthesis,Condition,SNOMED,standard
43020950,Disorder of truncal valve prosthesis,Condition,SNOMED,standard
43020955,Stenosis of fetal tricuspid valve,Condition,SNOMED,standard
43020956,Stenosis of fetal mitral valve,Condition,SNOMED,standard
43020957,Regurgitation of fetal pulmonary valve,Condition,SNOMED,standard
43020958,Stenosis of fetal pulmonary valve,Condition,SNOMED,standard
43020959,Stenosis of fetal aortic valve,Condition,SNOMED,standard
43020960,Regurgitation of fetal right atrioventricular (not morphologically tricuspid) valve,Condition,SNOMED,standard
43020961,Stenosis of fetal right atrioventricular (not morphologically tricuspid) valve,Condition,SNOMED,standard
43020962,Regurgitation of fetal left atrioventricular (not morphologically mitral) valve,Condition,SNOMED,standard
43020963,Stenosis of fetal left atrioventricular (not morphologically mitral) valve,Condition,SNOMED,standard
43020964,Regurgitation of fetal common atrioventricular valve,Condition,SNOMED,standard
43021473,Disorder of left atrioventricular (not morphologically mitral) valve prosthesis,Condition,SNOMED,standard
43021624,Failure of cardiac valve prosthesis,Condition,SNOMED,standard
43021806,Regurgitation of atrioventricular (not morphologically mitral or tricuspid) valve,Condition,SNOMED,standard
43021861,Congenital peripheral pulmonary artery stenosis,Condition,SNOMED,standard
43021941,Disorder of mitral valve prosthesis,Condition,SNOMED,standard
43021943,Regurgitation of fetal tricuspid valve,Condition,SNOMED,standard
43021944,Regurgitation of fetal mitral valve,Condition,SNOMED,standard
43021945,Regurgitation of fetal aortic valve,Condition,SNOMED,standard
44511398,Other specified repair of tetralogy of Fallot,Procedure,OPCS4,standard
44782566,Pulmonary hypertension due to left-sided valvular heart disease,Condition,SNOMED,standard
44783642,Pulmonary venous hypertension due to congenital stenosis of pulmonary vein,Condition,SNOMED,standard
44804848,Congenital subvalvar mitral stenosis,Condition,SNOMED,standard
45766069,Prosthetic mitral valve failure,Condition,SNOMED,standard
45766071,Prosthetic mitral valve failure requiring replacement,Condition,SNOMED,standard
45766072,Prosthetic mitral valve failure requiring revision,Condition,SNOMED,standard
45766078,Prosthetic mitral valve stenosis,Condition,SNOMED,standard
45766079,Prosthetic mitral valve stenosis and regurgitation,Condition,SNOMED,standard
45766080,Acute prosthetic aortic valve regurgitation,Condition,SNOMED,standard
45766081,Prosthetic aortic valve stenosis,Condition,SNOMED,standard
45766082,Prosthetic aortic valve failure,Condition,SNOMED,standard
45766083,Prosthetic aortic valve failure requiring revision,Condition,SNOMED,standard
45766084,Acute prosthetic mitral valve regurgitation,Condition,SNOMED,standard
45766086,Prosthetic mitral valve calcific stenosis,Condition,SNOMED,standard
45766087,Non-rheumatic pulmonary valve stenosis with regurgitation,Condition,SNOMED,standard
45766089,Postprocedural pulmonary valve regurgitation,Condition,SNOMED,standard
45766092,Neopulmonary valve regurgitation,Condition,SNOMED,standard
45766093,Neopulmonary valve stenosis,Condition,SNOMED,standard
45766094,Prosthetic pulmonary valve failure requiring replacement,Condition,SNOMED,standard
45766097,Postprocedural pulmonary valve stenosis,Condition,SNOMED,standard
45766099,Postprocedural regurgitation of tricuspid valve,Condition,SNOMED,standard
45766100,Postprocedural stenosis of tricuspid valve,Condition,SNOMED,standard
45766103,Prosthetic tricuspid valve stenosis,Condition,SNOMED,standard
45766124,Postprocedural aortic valve regurgitation,Condition,SNOMED,standard
45766125,Postprocedural aortic valve stenosis,Condition,SNOMED,standard
45766126,Postprocedural mitral valve regurgitation,Condition,SNOMED,standard
45766127,Postprocedural mitral valve stenosis,Condition,SNOMED,standard
45766136,Non-rheumatic aortic valve stenosis with regurgitation,Condition,SNOMED,standard
45766143,Acquired stenosis of left pulmonary artery,Condition,SNOMED,standard
45766144,Acquired stenosis of right pulmonary artery,Condition,SNOMED,standard
45766177,Prosthetic tricuspid valve failure,Condition,SNOMED,standard
45766178,Prosthetic tricuspid valve failure requiring revision,Condition,SNOMED,standard
45766179,Prosthetic tricuspid valve failure requiring replacement,Condition,SNOMED,standard
45766180,Prosthetic pulmonary valve stenosis,Condition,SNOMED,standard
45766181,Prosthetic tricuspid valve regurgitation,Condition,SNOMED,standard
45766182,Prosthetic pulmonary valve regurgitation,Condition,SNOMED,standard
45766185,Acute prosthetic tricuspid valve regurgitation,Condition,SNOMED,standard
45766186,Prosthetic aortic valve stenosis and regurgitation,Condition,SNOMED,standard
45766205,Neoaortic valve stenosis,Condition,SNOMED,standard
45766206,Tricuspid valve stenosis with insufficiency,Condition,SNOMED,standard
45766207,Non-rheumatic mitral valve stenosis with regurgitation,Condition,SNOMED,standard
45766210,Aortic valve regurgitation due to trauma,Condition,SNOMED,standard
45766211,Aortic valve regurgitation due to dissection,Condition,SNOMED,standard
45766213,Mitral valve regurgitation due to infiltrative disease,Condition,SNOMED,standard
45766214,Mitral valve regurgitation due to acute myocardial infarction without papillary muscle and chordal rupture,Condition,SNOMED,standard
45768850,Congenital stenosis of right pulmonary artery,Condition,SNOMED,standard
45768939,Pulmonary trunk stenosis as complication of procedure,Condition,SNOMED,standard
45769387,Valvular stenosis with valvular insufficiency,Observation,SNOMED,standard
45769461,Non-rheumatic mitral valve disease,Condition,SNOMED,standard
45771317,Prosthetic aortic valve failure requiring replacement,Condition,SNOMED,standard
45771321,Neoaortic valve regurgitation,Condition,SNOMED,standard
45771323,Mitral valve regurgitation due to cardiomyopathy,Condition,SNOMED,standard
45771326,Aortic valve regurgitation due to aortic dilation,Condition,SNOMED,standard
45771327,Mitral valve regurgitation due to acute myocardial infarction with papillary muscle and chordal rupture,Condition,SNOMED,standard
